id,thinklet_id,total_score
154,243955,2
157,243955,2
158,243956,2
159,243945,2
160,243955,2
162,243949,2
163,243949,2
165,243937,2
168,243936,2
170,243946,2
173,243953,2
175,244005,2
176,243986,2
179,244010,2
180,243995,2
182,244012,2
184,244012,2
191,243991,2
198,243996,2
200,240303,2
201,244053,2
203,244046,2
204,244045,2
206,244047,2
208,244045,2
215,244054,2
217,244040,2
218,244042,2
220,244052,2
221,244049,2
224,244042,2
226,244050,2
227,244050,2
233,245294,2
235,245277,2
241,245273,2
245,245255,2
247,245271,2
248,245287,2
252,245277,2
256,245292,2
257,245277,2
259,245277,2
262,245281,2
263,245284,2
264,245284,2
266,245294,2
269,245294,2
273,245290,2
287,246001,2
290,246000,2
292,245990,2
295,246012,2
296,246026,2
297,246015,2
298,246015,2
299,246015,2
300,246024,2
302,246030,2
309,246075,2
310,246067,2
311,246062,2
315,246068,2
317,246062,2
321,246075,2
326,246053,2
327,246071,2
330,247828,2
333,250372,2
335,250408,2
337,250407,2
340,250397,2
341,250388,2
342,247926,2
349,250506,2
352,247929,2
353,250511,2
361,250537,2
362,250549,2
366,250537,2
374,250537,2
376,250538,2
381,250549,2
382,250548,2
385,250534,2
386,250534,2
388,250537,2
390,250538,2
395,250597,2
397,250582,2
398,250578,2
399,250587,2
400,250592,2
403,250588,2
406,250579,2
407,250585,2
410,250611,2
412,250585,2
414,250646,2
416,250635,2
420,250646,2
421,250639,2
423,250640,2
424,250644,2
425,250646,2
428,250646,2
429,250634,2
430,250595,2
0,240197,1
1,240185,1
2,240167,1
3,240201,1
4,240168,1
5,240163,1
9,240174,1
10,240163,1
11,240165,1
12,240183,1
14,240196,1
15,237703,1
16,240212,1
20,240206,1
21,240209,1
22,240218,1
24,240239,1
25,240246,1
27,240239,1
28,240265,1
29,240275,1
34,240286,1
35,240284,1
38,240292,1
46,240330,1
47,240354,1
51,240354,1
53,240345,1
60,240350,1
61,240351,1
64,243704,1
65,243860,1
66,243886,1
67,243869,1
68,243880,1
73,243719,1
74,243708,1
77,243714,1
78,243722,1
80,243726,1
81,243720,1
85,243727,1
86,243710,1
92,243731,1
93,243717,1
94,243718,1
99,220615,1
101,243875,1
102,243870,1
107,243861,1
114,243879,1
117,243871,1
118,243882,1
120,243875,1
128,243862,1
129,243861,1
133,243866,1
135,243879,1
136,243867,1
139,243945,1
145,240264,1
150,243945,1
151,243955,1
155,243936,1
156,243947,1
161,243949,1
164,243951,1
166,243949,1
171,243946,1
194,244000,1
197,244000,1
205,244061,1
210,244040,1
212,244040,1
222,244049,1
231,245255,1
234,245275,1
239,245277,1
240,245287,1
242,245293,1
243,245259,1
246,245293,1
250,245255,1
251,245277,1
253,245255,1
255,245284,1
258,245259,1
261,245281,1
265,245284,1
267,245284,1
268,245292,1
270,245269,1
271,245294,1
275,245290,1
276,245297,1
278,245297,1
279,245284,1
280,245284,1
281,245290,1
282,245299,1
283,245299,1
284,245273,1
286,242308,1
288,246000,1
289,245998,1
293,246001,1
301,246034,1
303,246017,1
305,246032,1
307,246026,1
312,246065,1
313,246065,1
314,246066,1
318,246053,1
322,246053,1
323,246063,1
328,246064,1
331,247972,1
332,250381,1
334,250379,1
336,250407,1
338,250401,1
339,250394,1
343,250501,1
344,250491,1
345,250494,1
346,250506,1
347,250506,1
350,250500,1
351,250490,1
354,250506,1
355,250514,1
356,250510,1
357,250517,1
358,250524,1
359,250516,1
360,250539,1
363,250549,1
364,250538,1
365,250551,1
368,250551,1
369,250534,1
371,250537,1
372,250534,1
373,250543,1
375,250547,1
377,250535,1
378,250548,1
380,250550,1
383,250540,1
384,250544,1
389,250540,1
391,250558,1
393,250583,1
396,250582,1
404,250585,1
405,250591,1
408,250600,1
413,250637,1
417,248042,1
418,250635,1
419,250647,1
422,250637,1
426,250642,1
427,250637,1
36,240287,0
